domain,host,is_valid_host,sitemap_url_count,loaded_by_robot,in_search_yandex,excluded_yandex,fatal_problems,index_ratio,indexnow_eligible,recrawl_eligible,wm_status
kupeshkafy24.ru,spb.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,spb.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,spb.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,spb.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,tyumen.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,tyumen.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,tyumen.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,tyumen.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,tyumen.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,tyumen.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,tyumen.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,ufa.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,ufa.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,ufa.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,ufa.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,ufa.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,ufa.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,ufa.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,vlg.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,vlg.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,vlg.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,vlg.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,vlg.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,vlg.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,vlg.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dizayn-interyera-online.ru,vrn.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,vrn.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
kamin-zakaz24.ru,vrn.kamin-zakaz24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
kupeshkafy24.ru,vrn.kupeshkafy24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
natyazhnoi-master24.ru,vrn.natyazhnoi-master24.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
okna-pvh-online.ru,vrn.okna-pvh-online.ru,false,250,0,0,0,0,0.00,false,false,"http:404"
perevodkvartiry.ru,vrn.perevodkvartiry.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
