domain,host,project,is_valid_host,is_bad_host,reason_if_bad,sitemap_url,sitemap_url_count,indexable_url_count,canonical_mode,robots_status,yandex_webmaster_status,google_search_console_status,indexnow_eligible,recrawl_eligible,metrika_counter,lead_forms_present,monetization_slots_present,priority_score
kuhni-zakaz-online.ru,nsk.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · nsk",true,false,"",https://nsk.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,perm.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · perm",true,false,"",https://perm.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,perm.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · perm",true,false,"",https://perm.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,rnd.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · rnd",true,false,"",https://rnd.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,rnd.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · rnd",true,false,"",https://rnd.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,sam.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · sam",true,false,"",https://sam.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,sam.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · sam",true,false,"",https://sam.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
dom-stroy-online.ru,spb.dom-stroy-online.ru,"dom-stroy (строительство домов) · spb",true,false,"",https://spb.dom-stroy-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,spb.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · spb",true,false,"",https://spb.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,spb.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · spb",true,false,"",https://spb.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,tyumen.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · tyumen",true,false,"",https://tyumen.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,tyumen.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · tyumen",true,false,"",https://tyumen.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
ipoteka-remont.ru,ufa.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · ufa",true,false,"",https://ufa.ipoteka-remont.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
kuhni-zakaz-online.ru,ufa.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · ufa",true,false,"",https://ufa.kuhni-zakaz-online.ru/sitemap.xml,5,5,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,,yes,no,15
